HDI rank,Country,HDI 1990,HDI 2000,HDI 2010,HDI 2015,HDI 2019,HDI 2020,HDI 2021,HDI 2022,HDI rank 2015-2022,AVG HDI GROWTH 1990-2000,AVG HDI GROWTH 2000-2010,AVG HDI GROWTH 2010-2022,AVG HDI GROWTH 1990-2022,Human Development Index (HDI) 2022,(SDG3) Life expectancy at birth 2022,(SDG4.3) Expected years of schooling 2022,(SDG4.4) Mean years of schooling 2022,(SDG8.5) Gross national income per capita 2022,GNI per capita rank minus HDI rank 2022,HDI rank 2021
1,Switzerland,850,885,940,952,960,957,965,967,0,0.40,0.60,0.24,0.40,967,84.3,16.6,13.9,69433,6,
2,Norway,845,914,938,952,961,963,964,966,-1,0.79,0.26,0.25,0.42,966,83.4,18.6,13.1,69.19,6,2
3,Iceland,834,895,927,948,958,955,957,959,0,0.71,0.35,0.28,0.44,959,82.8,19.1,13.8,54688,16,4
4,"Hong Kong, China (SAR)",739,831,914,936,953,955,959,956,2,1.18,0.96,0.38,0.81,956,84.3,17.8,12.3,62486,6,3
5,Denmark,839,890,913,936,946,946,947,952,1,0.59,0.26,0.35,0.40,952,81.9,18.8,13.0,62019,6,8
5,Sweden,808,903,910,937,947,944,949,952,0,1.12,0.08,0.38,0.51,952,83.5,19.0,12.7,56996,10,5
7,Germany,828,890,929,941,951,948,948,950,-3,0.72,0.43,0.19,0.43,950,81.0,17.3,14.3,55.34,11,7
7,Ireland,743,851,908,924,942,945,946,950,8,1.37,0.65,0.38,0.77,950,82.7,19.1,11.7,87468,-3,9
9,Singapore,780,863,921,935,945,942,942,949,-1,1.02,0.65,0.25,0.61,949,84.1,16.9,11.9,88761,-6,10
10,Australia,864,896,924,933,941,948,949,946,-1,0.36,0.31,0.20,0.28,946,83.6,21.1,12.7,49257,14,5
10,Netherlands,847,892,917,932,941,938,941,946,1,0.52,0.28,0.26,0.35,946,82.5,18.6,12.6,57278,4,11
12,Belgium,814,884,913,924,936,930,938,942,3,0.83,0.32,0.26,0.46,942,82.3,18.9,12.5,53644,9,13
12,Finland,811,887,912,930,939,939,941,942,0,0.90,0.28,0.27,0.47,942,82.4,19.2,12.9,49522,11,11
12,Liechtenstein,..,871,916,926,940,933,936,942,2,..,0.51,0.23,..,942,84.7,15.5,12.4,146673,-11,14
15,United Kingdom,804,863,913,923,933,920,931,940,3,0.71,0.56,0.24,0.49,940,82.2,17.6,13.4,46624,13,17
16,New Zealand,812,894,924,933,937,935,936,939,-7,0.97,0.33,0.13,0.46,939,83.0,19.7,12.9,43665,16,14
17,United Arab Emirates,717,790,828,860,933,930,931,937,19,0.97,0.47,1.04,0.84,937,79.2,17.2,12.8,74104,-11,17
18,Canada,861,890,911,927,932,928,934,935,-5,0.33,0.23,0.22,0.26,935,82.8,16.0,13.9,48444,8,16
19,Korea (Republic of),731,824,890,908,922,922,926,929,3,1.20,0.77,0.36,0.75,929,84.0,16.5,12.6,46026,10,20
20,Luxembourg,793,864,912,914,925,921,927,927,-1,0.86,0.54,0.14,0.49,927,82.6,14.2,13.0,78554,-15,19
20,United States,875,894,916,924,933,923,921,927,-5,0.22,0.24,0.10,0.18,927,78.2,16.4,13.6,65565,-11,21
22,Austria,823,870,903,910,920,916,920,926,-1,0.56,0.37,0.21,0.37,926,82.4,16.4,12.3,56.53,-5,22
22,Slovenia,..,823,890,903,918,910,916,926,1,..,0.79,0.33,..,926,82.1,17.4,12.9,41587,13,24
24,Japan,846,883,903,913,918,917,920,920,-4,0.43,0.22,0.16,0.26,920,84.8,15.5,12.7,43644,9,22
25,Israel,781,835,887,899,909,906,911,915,-1,0.67,0.61,0.26,0.50,915,82.6,15.0,13.4,43588,9,26
25,Malta,726,779,862,887,905,901,912,915,3,0.71,1.02,0.50,0.73,915,83.7,15.9,12.2,44464,5,25
27,Spain,762,828,868,889,904,894,904,911,0,0.83,0.47,0.40,0.56,911,83.9,17.8,10.6,40043,10,28
28,France,790,844,880,893,905,900,906,910,-3,0.66,0.42,0.28,0.44,910,83.2,16.0,11.7,47379,-1,27
29,Cyprus,733,797,859,874,901,900,901,907,3,0.84,0.75,0.45,0.67,907,81.9,16.2,12.4,40137,7,29
30,Italy,780,842,880,881,899,892,899,906,0,0.77,0.44,0.24,0.47,906,84.1,16.7,10.7,44284,1,30
31,Estonia,741,798,864,883,893,891,890,899,-2,0.74,0.80,0.33,0.61,899,79.2,15.9,13.5,37152,9,32
32,Czechia,748,810,872,891,896,891,891,895,-6,0.80,0.74,0.22,0.56,895,78.1,16.3,12.9,39945,6,31
33,Greece,762,818,874,881,890,887,887,893,-3,0.71,0.66,0.18,0.50,893,80.6,20.0,11.4,31382,20,33
34,Bahrain,733,775,807,859,888,884,884,888,3,0.56,0.41,0.80,0.60,888,79.2,16.3,11.0,48731,-9,34
35,Andorra,..,815,863,856,865,843,855,884,3,..,0.57,0.20,..,884,83.6,12.8,11.6,54233,-15,43
36,Poland,715,794,845,869,880,874,876,881,-2,1.05,0.62,0.35,0.65,881,77.0,15.9,13.2,35151,7,35
37,Latvia,732,761,827,853,873,873,865,879,2,0.39,0.84,0.51,0.57,879,75.9,16.6,13.3,32083,13,39
37,Lithuania,740,769,846,865,886,880,875,879,-2,0.39,0.96,0.32,0.54,879,74.3,16.4,13.5,38131,2,36
39,Croatia,..,764,824,844,866,860,867,878,6,..,0.76,0.53,..,878,79.2,15.6,12.3,34324,5,37
40,Qatar,764,793,829,852,869,863,864,875,0,0.37,0.44,0.45,0.42,875,81.6,13.3,10.1,95944,-38,41
40,Saudi Arabia,699,746,805,842,862,861,867,875,6,0.65,0.76,0.70,0.70,875,77.9,15.2,11.3,50.62,-18,37
42,Portugal,703,793,831,850,864,861,865,874,0,1.21,0.47,0.42,0.68,874,82.2,16.8,9.6,35315,0,39
43,San Marino,841,875,901,872,861,844,853,867,-10,0.40,0.29,-0.32,0.10,867,83.4,12.4,10.5,57687,-30,44
44,Chile,705,763,813,846,859,849,856,860,0,0.79,0.64,0.47,0.62,860,79.5,16.8,11.1,24431,15,42
45,Slovakia,..,761,841,852,863,860,852,855,-5,..,1.00,0.14,..,855,75.3,14.7,13.0,32171,4,45
45,Türkiye,598,669,750,821,842,835,841,855,9,1.13,1.15,1.10,1.12,855,78.5,19.7,8.8,32834,2,48
47,Hungary,721,773,829,839,854,849,846,851,0,0.70,0.70,0.22,0.52,851,75.0,15.1,12.2,34196,-2,46
48,Argentina,724,780,834,850,853,841,844,849,-6,0.75,0.67,0.15,0.50,849,76.1,19.0,11.1,22048,17,47
49,Kuwait,698,780,811,829,838,826,836,847,0,1.12,0.39,0.36,0.61,847,80.3,15.7,7.4,56729,-33,50
50,Montenegro,..,..,806,827,841,832,840,844,1,..,..,0.38,..,844,76.8,15.1,12.6,22513,12,49
51,Saint Kitts and Nevis,..,..,790,829,838,832,832,838,-2,..,..,0.49,..,838,72.0,18.4,10.8,28442,3,51
52,Uruguay,702,754,785,807,818,820,814,830,8,0.72,0.40,0.47,0.52,830,78.0,17.4,9.1,22207,12,56
53,Romania,709,721,813,813,834,828,825,827,3,0.17,1.21,0.14,0.48,827,74.1,14.5,11.4,31641,-1,52
54,Antigua and Barbuda,..,..,808,818,831,820,819,826,1,..,..,0.18,..,826,79.2,15.5,10.5,18784,18,54
55,Brunei Darussalam,779,789,825,832,827,827,824,823,-7,0.13,0.45,-0.02,0.17,823,74.6,13.7,9.2,59246,-43,53
56,Russian Federation,741,733,797,823,839,826,818,821,-3,-0.11,0.84,0.25,0.32,821,70.1,15.7,12.4,26992,1,55
57,Bahamas,760,788,800,807,802,798,799,820,3,0.36,0.15,0.21,0.24,820,74.4,11.9,12.7,32535,-9,67
57,Panama,672,722,775,802,820,809,813,820,5,0.72,0.71,0.47,0.62,820,76.8,13.2,10.7,32029,-6,57
59,Oman,..,702,798,824,841,823,810,819,-7,..,1.29,0.22,..,819,73.9,13.0,11.9,32967,-13,58
60,Georgia,..,694,763,798,816,807,809,814,4,..,0.95,0.54,..,814,71.6,16.7,12.7,15952,19,59
60,Trinidad and Tobago,656,708,785,812,813,815,804,814,-3,0.77,1.04,0.30,0.68,814,74.7,14.1,11.7,22473,3,60
62,Barbados,728,760,792,798,806,803,803,809,2,0.43,0.41,0.18,0.33,809,77.7,16.5,9.9,14.81,24,63
63,Malaysia,649,726,768,792,805,802,798,807,6,1.13,0.56,0.41,0.68,807,76.3,12.9,10.7,27295,-7,68
64,Costa Rica,659,709,769,792,811,811,804,806,5,0.73,0.82,0.39,0.63,806,77.3,16.1,8.8,20248,2,60
65,Serbia,..,689,768,794,812,806,804,805,3,..,1.09,0.39,..,805,74.1,14.5,11.5,19494,3,60
66,Thailand,581,663,743,789,801,800,797,803,6,1.33,1.15,0.65,1.02,803,79.7,15.6,8.8,16887,10,69
67,Kazakhstan,672,680,766,799,810,806,801,802,-4,0.12,1.20,0.38,0.55,802,69.5,14.8,12.4,22587,-6,65
67,Seychelles,..,755,774,797,808,799,795,802,-1,..,0.25,0.30,..,802,71.7,13.9,11.2,28386,-12,71
69,Belarus,..,708,790,809,810,800,801,801,-11,..,1.10,0.12,..,801,73.2,14.0,12.2,18425,5,65
70,Bulgaria,698,723,790,809,813,802,796,799,-12,0.35,0.89,0.09,0.42,799,71.5,13.9,11.4,25921,-12,70
71,Palau,..,747,775,782,792,794,802,797,3,..,0.37,0.23,..,797,65.4,17.2,13.0,19344,-2,64
72,Mauritius,620,682,755,791,806,792,790,796,-1,0.96,1.02,0.44,0.78,796,74.0,14.6,10.0,23252,-12,72
73,Grenada,..,..,779,786,790,786,788,793,0,..,..,0.15,..,793,75.3,16.6,9.9,13593,18,73
74,Albania,649,678,766,797,800,784,785,789,-8,0.44,1.23,0.25,0.61,789,76.8,14.5,10.1,15293,7,74
75,China,482,586,698,741,775,781,785,788,18,1.97,1.76,1.02,1.55,788,78.6,15.2,8.1,18025,0,74
76,Armenia,658,656,739,769,789,769,774,786,2,-0.03,1.20,0.52,0.56,786,73.4,14.4,11.3,15388,4,79
77,Mexico,666,709,747,769,781,757,757,781,1,0.63,0.52,0.37,0.50,781,74.8,14.5,9.2,19138,-7,83
78,Iran (Islamic Republic of),613,692,756,782,785,779,776,780,-4,1.22,0.89,0.26,0.76,780,74.6,14.1,10.7,14.77,10,77
78,Sri Lanka,641,689,735,760,775,777,783,780,6,0.72,0.65,0.50,0.62,780,76.6,13.6,11.2,11899,24,76
80,Bosnia and Herzegovina,..,656,718,757,780,776,776,779,7,..,0.91,0.68,..,779,75.3,13.3,10.5,16571,-3,77
81,Saint Vincent and the Grenadines,..,691,756,777,789,785,773,772,-5,..,0.90,0.17,..,772,69.0,16.3,11.0,14049,9,80
82,Dominican Republic,579,646,707,739,765,760,756,766,12,1.10,0.91,0.67,0.88,766,74.2,13.6,9.2,18653,-9,84
83,Ecuador,645,684,736,764,758,734,746,765,-1,0.59,0.74,0.32,0.53,765,77.9,14.9,9.0,10693,25,90
83,North Macedonia,..,676,746,777,787,766,764,765,-7,..,0.99,0.21,..,765,73.9,13.0,10.2,16396,-5,82
85,Cuba,684,694,779,765,766,759,742,764,-4,0.15,1.16,-0.16,0.35,764,78.2,14.5,10.5,7953,40,92
86,Moldova (Republic of),688,655,716,749,773,765,767,763,5,-0.49,0.89,0.53,0.32,763,68.6,14.9,11.8,12964,8,81
87,Maldives,..,635,692,728,753,737,753,762,13,..,0.86,0.81,..,762,80.8,12.2,7.8,18847,-16,88
87,Peru,620,675,725,758,774,758,755,762,-2,0.85,0.72,0.42,0.65,762,73.4,14.8,10.0,11916,14,86
89,Azerbaijan,..,635,733,751,762,722,738,760,1,..,1.45,0.30,..,760,73.5,12.7,10.6,15018,-7,95
89,Brazil,620,668,722,752,764,758,756,760,0,0.75,0.78,0.43,0.64,760,73.4,15.6,8.3,14616,0,84
91,Colombia,614,672,732,758,768,756,752,758,-6,0.91,0.86,0.29,0.66,758,73.7,14.4,8.9,15014,-8,89
